(0, [24, 'Luca', 'male', 'Stolnici'])
(1, [20, 'Daniel', 'male', 'Loshi'])
(2, [22, 'Teohari', 'male', 'Muraru'])
(3, [45, 'Amedeu', 'male', 'Iordăchescu'])
(4, [84, 'Brândușa', 'female', 'Dediu'])
(5, [18, 'Cătălin', 'male', 'Neacșu'])
(6, [24, 'Agripina', 'female', 'Lup'])
(7, [31, 'Voicu', 'male', 'Pașcanu'])
(8, [64, 'Samir', 'male', 'Călinescu'])
(9, [20, 'Evanghelina', 'female', 'Mumu'])
(10, [30, 'Alija', 'male', 'Prelipceanu'])
(11, [25, 'Lelia', 'female', 'Dogaru'])
(12, [19, 'Blanduzia', 'female', 'Pascali'])
(13, [23, 'Simon', 'male', 'Burileanu'])
(14, [27, 'Marcela', 'female', 'Cazacu'])
(15, [31, 'Ana', 'female', 'Teodorașcu'])
(16, [20, 'Daraiana', 'female', 'Korošec'])
(17, [33, 'Alenka', 'female', 'Gușă'])
(18, [27, 'Zenovia', 'female', 'Rădescu'])
(19, [57, 'Ramona', 'female', 'Murgoci'])
(20, [20, 'Mădălin', 'male', 'Botnaru'])
(21, [30, 'Vedran', 'male', 'Teleanu'])
(22, [23, 'Dan', 'male', 'Sirma'])
(23, [18, 'Brăduț', 'male', 'Tatomirescu'])
(24, [25, 'Georgian', 'male', 'Kos'])
(25, [56, 'Stanislav', 'male', 'Grigoriu'])
(26, [63, 'Nina', 'female', 'Sandu'])
(27, [33, 'Martina', 'female', 'Anghelescu'])
(28, [34, 'Ivona', 'female', 'Drăghiceanu'])
(29, [33, 'Denis', 'male', 'Chindriș'])
(30, [44, 'Fadil', 'male', 'Predojević'])
(31, [21, 'Emir', 'male', 'Čejvan'])
(32, [31, 'Lioara', 'female', 'Argetoianu'])
(33, [43, 'Anda', 'female', 'Gănescu'])
(34, [18, 'Aron', 'male', 'Boștină'])
(35, [24, 'Stelian', 'male', 'Duro'])
(36, [19, 'Alice', 'female', 'Frunda'])
(37, [87, 'Alesandro', 'male', 'Greceanu'])
(38, [21, 'Ioana', 'female', 'Văcăroiu'])
(39, [34, 'Dinu', 'male', 'Videanu'])
(40, [62, 'Izet', 'male', 'Braghiș'])
(41, [32, 'Lavinia', 'female', 'Burada'])
(42, [18, 'Alesia', 'female', 'Goma'])
(43, [34, 'Aleš', 'male', 'Almaș'])
(44, [26, 'Franjo', 'male', 'Dănescu'])
(45, [20, 'Dalia', 'female', 'Gheorghe'])
(46, [26, 'Tiberia', 'female', 'Caranfil'])
(47, [34, 'Zamfir', 'male', 'Oancea'])
(48, [19, 'George', 'male', 'Adamache'])
(49, [19, 'Delia', 'female', 'Josan'])
(50, [18, 'Ina', 'female', 'Costea'])
(51, [31, 'Adam', 'male', 'Koren'])
(52, [22, 'Slaven', 'male', 'Bîrlea'])
(53, [18, 'Denis', 'male', 'Aman'])
(54, [38, 'Gheorghiță', 'male', 'Posteucă'])
(55, [28, 'Artemisa', 'female', 'Rădescu'])
(56, [98, 'Suzana', 'female', 'Kodra'])
(57, [20, 'Jadranko', 'male', 'Edeleanu'])
(58, [20, 'Ionel', 'male', 'Brahimi'])
(59, [18, 'Aureliana', 'female', 'Râpeanu'])
(60, [22, 'Adis', 'male', 'Lup'])
(61, [80, 'Antonie', 'male', 'Prifti'])
(62, [18, 'Faris', 'male', 'Bîrlădeanu'])
(63, [35, 'Amedeu', 'male', 'Goian'])
(64, [96, 'Vicenția', 'female', 'Nicolau'])
(65, [18, 'Ludovica', 'female', 'Albu'])
(66, [19, 'Hajrudin', 'male', 'Rogoz'])
(67, [25, 'Gabriel', 'male', 'Afrom'])
(68, [22, 'Enes', 'male', 'Cernea'])
(69, [47, 'Matjaž', 'male', 'Pițurcă'])
(70, [21, 'Laurian', 'male', 'Turk'])
(71, [20, 'Răducu', 'male', 'Moța'])
(72, [21, 'Sonia', 'female', 'Kotnik'])
(73, [57, 'Valentin', 'male', 'Barbu'])
(74, [28, 'Anto', 'male', 'Șerbu'])
(75, [34, 'Kejsi', 'female', 'Bârcianu'])
(76, [39, 'Aleksandar', 'male', 'Soltan'])
(77, [23, 'Iridenta', 'female', 'Butoi'])
(78, [24, 'Dumitra', 'female', 'Frențiu'])
(79, [18, 'Nada', 'female', 'Muscă'])
